id,name,chain,legendary,mythical,type
270,연꽃몬,136,0,0,물
271,로토스,136,0,0,물
272,로파파,136,0,0,물
273,도토링,137,0,0,풀
274,잎새코,137,0,0,풀
275,다탱구,137,0,0,풀
276,테일로,138,0,0,노말
277,스왈로,138,0,0,노말
278,갈모매,139,0,0,물
279,패리퍼,139,0,0,물
280,랄토스,140,0,0,에스퍼
281,킬리아,140,0,0,에스퍼
282,가디안,140,0,0,에스퍼
283,비구술,141,0,0,벌레
284,비나방,141,0,0,벌레
285,버섯꼬,142,0,0,풀
286,버섯모,142,0,0,풀
287,게을로,143,0,0,노말
288,발바로,143,0,0,노말
289,게을킹,143,0,0,노말
290,토중몬,144,0,0,벌레
291,아이스크,144,0,0,벌레
292,껍질몬,144,0,0,벌레
293,소곤룡,145,0,0,노말
294,노공룡,145,0,0,노말
295,폭음룡,145,0,0,노말
296,마크탕,146,0,0,격투
297,하리뭉,146,0,0,격투
298,루리리,90,0,0,노말
299,코코파스,147,0,0,바위
300,에나비,148,0,0,노말
301,델케티,148,0,0,노말
302,깜까미,149,0,0,악
303,입치트,150,0,0,강철
304,가보리,151,0,0,강철
305,갱도라,151,0,0,강철
306,보스로라,151,0,0,강철
307,요가랑,152,0,0,격투
308,요가램,152,0,0,격투
309,썬더라이,153,0,0,전기
310,썬더볼트,153,0,0,전기
311,플러시,154,0,0,전기
312,마이농,155,0,0,전기
313,볼비트,156,0,0,벌레
314,네오비트,157,0,0,벌레
315,로젤리아,158,0,0,풀
316,꼴깍몬,159,0,0,독
317,꿀꺽몬,159,0,0,독
318,샤프니아,160,0,0,물
319,샤크니아,160,0,0,물
320,고래왕자,161,0,0,물
321,고래왕,161,0,0,물
322,둔타,162,0,0,불꽃
323,폭타,162,0,0,불꽃
324,코터스,163,0,0,불꽃
325,피그점프,164,0,0,에스퍼
326,피그킹,164,0,0,에스퍼
327,얼루기,165,0,0,노말
328,톱치,166,0,0,땅
329,비브라바,166,0,0,땅
330,플라이곤,166,0,0,땅
331,선인왕,167,0,0,풀
332,밤선인,167,0,0,풀
333,파비코,168,0,0,노말
334,파비코리,168,0,0,드래곤
335,쟝고,169,0,0,노말
336,세비퍼,170,0,0,독
337,루나톤,171,0,0,바위
338,솔록,172,0,0,바위
339,미꾸리,173,0,0,물
340,메깅,173,0,0,물
341,가재군,174,0,0,물
342,가재장군,174,0,0,물
343,오뚝군,175,0,0,땅
344,점토도리,175,0,0,땅
345,릴링,176,0,0,바위
346,릴리요,176,0,0,바위
347,아노딥스,177,0,0,바위
348,아말도,177,0,0,바위
349,빈티나,178,0,0,물
350,밀로틱,178,0,0,물
351,캐스퐁,179,0,0,노말
352,켈리몬,180,0,0,노말
353,어둠대신,181,0,0,고스트
354,다크펫,181,0,0,고스트
355,해골몽,182,0,0,고스트
356,미라몽,182,0,0,고스트
357,트로피우스,183,0,0,풀
358,치렁,184,0,0,에스퍼
359,앱솔,185,0,0,악
360,마자,100,0,0,에스퍼
361,눈꼬마,186,0,0,얼음
362,얼음귀신,186,0,0,얼음
363,대굴레오,187,0,0,얼음
364,씨레오,187,0,0,얼음
365,씨카이저,187,0,0,얼음
366,진주몽,188,0,0,물
367,헌테일,188,0,0,물
368,분홍장이,188,0,0,물
369,시라칸,189,0,0,물
370,사랑동이,190,0,0,물
371,아공이,191,0,0,드래곤
372,쉘곤,191,0,0,드래곤
373,보만다,191,0,0,드래곤
374,메탕,192,0,0,강철
375,메탕구,192,0,0,강철
376,메타그로스,192,0,0,강철
377,레지락,193,1,0,바위
378,레지아이스,194,1,0,얼음
379,레지스틸,195,1,0,강철
380,라티아스,196,1,0,드래곤
381,라티오스,197,1,0,드래곤
382,가이오가,198,1,0,물
383,그란돈,199,1,0,땅
384,레쿠쟈,200,1,0,드래곤
385,지라치,201,0,1,강철
386,테오키스,202,0,1,에스퍼
387,모부기,203,0,0,풀
388,수풀부기,203,0,0,풀
389,토대부기,203,0,0,풀
390,불꽃숭이,204,0,0,불꽃
391,파이숭이,204,0,0,불꽃
392,초염몽,204,0,0,불꽃
393,팽도리,205,0,0,물
394,팽태자,205,0,0,물
395,엠페르트,205,0,0,물
396,찌르꼬,206,0,0,노말
397,찌르버드,206,0,0,노말
398,찌르호크,206,0,0,노말
399,비버니,207,0,0,노말
400,비버통,207,0,0,노말
401,귀뚤뚜기,208,0,0,벌레
402,귀뚤톡크,208,0,0,벌레
403,꼬링크,209,0,0,전기
404,럭시오,209,0,0,전기
405,렌트라,209,0,0,전기
406,꼬몽울,158,0,0,풀
407,로즈레이드,158,0,0,풀
408,두개도스,211,0,0,바위
409,램펄드,211,0,0,바위
410,방패톱스,212,0,0,바위
411,바리톱스,212,0,0,바위
412,도롱충이,213,0,0,벌레
413,도롱마담,213,0,0,벌레
414,나메일,213,0,0,벌레
415,세꿀버리,214,0,0,벌레
416,비퀸,214,0,0,벌레
417,파치리스,215,0,0,전기
418,브이젤,216,0,0,물
419,플로젤,216,0,0,물
420,체리버,217,0,0,풀
421,체리꼬,217,0,0,풀
422,깝질무,218,0,0,물
423,트리토돈,218,0,0,물
424,겟핸보숭,93,0,0,노말
425,흔들풍손,219,0,0,고스트
426,둥실라이드,219,0,0,고스트
427,이어롤,220,0,0,노말
428,이어롭,220,0,0,노말
429,무우마직,98,0,0,고스트
430,돈크로우,97,0,0,악
431,나옹마,221,0,0,노말
432,몬냥이,221,0,0,노말
433,랑딸랑,184,0,0,에스퍼
434,스컹뿡,223,0,0,독
435,스컹탱크,223,0,0,독
436,동미러,224,0,0,강철
437,동탁군,224,0,0,강철
438,꼬지지,91,0,0,바위
439,흉내내,57,0,0,에스퍼
440,핑복,51,0,0,노말
441,페라페,228,0,0,노말
442,화강돌,229,0,0,고스트
443,딥상어동,230,0,0,드래곤
444,한바이트,230,0,0,드래곤
445,한카리아스,230,0,0,드래곤
446,먹고자,72,0,0,노말
447,리오르,232,0,0,격투
448,루카리오,232,0,0,격투
449,히포포타스,233,0,0,땅
450,하마돈,233,0,0,땅
451,스콜피,234,0,0,독
452,드래피온,234,0,0,독
453,삐딱구리,235,0,0,독
454,독개굴,235,0,0,독
455,무스틈니,236,0,0,풀
456,형광어,237,0,0,물
457,네오라이트,237,0,0,물
458,타만타,116,0,0,물
459,눈쓰개,239,0,0,풀
460,눈설왕,239,0,0,풀
461,포푸니라,109,0,0,악
462,자포코일,34,0,0,전기
463,내룸벨트,48,0,0,노말
464,거대코뿌리,50,0,0,땅
465,덩쿠림보,52,0,0,풀
466,에레키블,60,0,0,전기
467,마그마번,61,0,0,불꽃
468,토게키스,87,0,0,페어리
469,메가자리,95,0,0,벌레
470,리피아,67,0,0,풀
471,글레이시아,67,0,0,얼음
472,글라이온,104,0,0,땅
473,맘모꾸리,112,0,0,얼음
474,폴리곤Z,68,0,0,노말
475,엘레이드,140,0,0,에스퍼
476,대코파스,147,0,0,바위
477,야느와르몽,182,0,0,고스트
478,눈여아,186,0,0,얼음
479,로토무,240,0,0,전기
480,유크시,241,1,0,에스퍼
481,엠라이트,242,1,0,에스퍼
482,아그놈,243,1,0,에스퍼
483,디아루가,244,1,0,강철
484,펄기아,245,1,0,물
485,히드런,246,1,0,불꽃
486,레지기가스,247,1,0,노말
487,기라티나,248,1,0,고스트
488,크레세리아,249,1,0,에스퍼
489,피오네,250,0,1,물
490,마나피,250,0,1,물
491,다크라이,252,0,1,악
492,쉐이미,253,0,1,풀
493,아르세우스,254,0,1,노말
494,비크티니,255,0,1,에스퍼
495,주리비얀,256,0,0,풀
496,샤비,256,0,0,풀
497,샤로다,256,0,0,풀
498,뚜꾸리,257,0,0,불꽃
499,차오꿀,257,0,0,불꽃
500,염무왕,257,0,0,불꽃
501,수댕이,258,0,0,물
502,쌍검자비,258,0,0,물
503,대검귀,258,0,0,물
504,보르쥐,259,0,0,노말
505,보르그,259,0,0,노말
506,요테리,260,0,0,노말
507,하데리어,260,0,0,노말
508,바랜드,260,0,0,노말
509,쌔비냥,261,0,0,악
510,레파르다스,261,0,0,악
511,야나프,262,0,0,풀
512,야나키,262,0,0,풀
513,바오프,263,0,0,불꽃
514,바오키,263,0,0,불꽃
515,앗차프,264,0,0,물
516,앗차키,264,0,0,물
517,몽나,265,0,0,에스퍼
518,몽얌나,265,0,0,에스퍼
519,콩둘기,266,0,0,노말
520,유토브,266,0,0,노말
521,켄호로우,266,0,0,노말
522,줄뮤마,267,0,0,전기
523,제브라이카,267,0,0,전기
524,단굴,268,0,0,바위
525,암트르,268,0,0,바위
526,기가이어스,268,0,0,바위
527,또르박쥐,269,0,0,에스퍼
528,맘박쥐,269,0,0,에스퍼
529,두더류,270,0,0,땅
530,몰드류,270,0,0,땅
531,다부니,271,0,0,노말
532,으랏차,272,0,0,격투
533,토쇠골,272,0,0,격투
534,노보청,272,0,0,격투
535,동챙이,273,0,0,물
536,두까비,273,0,0,물
537,두빅굴,273,0,0,물
538,던지미,274,0,0,격투
539,타격귀,275,0,0,격투
540,두르보,276,0,0,벌레
541,두르쿤,276,0,0,벌레
542,모아머,276,0,0,벌레
543,마디네,277,0,0,벌레
544,휠구,277,0,0,벌레
545,펜드라,277,0,0,벌레
546,소미안,278,0,0,풀
547,엘풍,278,0,0,풀
548,치릴리,279,0,0,풀
549,드레디어,279,0,0,풀
550,배쓰나이,280,0,0,물
551,깜눈크,281,0,0,땅
552,악비르,281,0,0,땅
553,악비아르,281,0,0,땅
554,달막화,282,0,0,불꽃
555,불비달마,282,0,0,불꽃
556,마라카치,283,0,0,풀
557,돌살이,284,0,0,벌레
558,암팰리스,284,0,0,벌레
559,곤율랭,285,0,0,악
560,곤율거니,285,0,0,악
561,심보러,286,0,0,에스퍼
562,데스마스,287,0,0,고스트
563,데스니칸,287,0,0,고스트
564,프로토가,288,0,0,물
565,늑골라,288,0,0,물
566,아켄,289,0,0,바위
567,아케오스,289,0,0,바위
568,깨봉이,290,0,0,독
569,더스트나,290,0,0,독
570,조로아,291,0,0,악
571,조로아크,291,0,0,악
572,치라미,292,0,0,노말
573,치라치노,292,0,0,노말
574,고디탱,293,0,0,에스퍼
575,고디보미,293,0,0,에스퍼
576,고디모아젤,293,0,0,에스퍼
577,유니란,294,0,0,에스퍼
578,듀란,294,0,0,에스퍼
579,란쿨루스,294,0,0,에스퍼
580,꼬지보리,295,0,0,물
581,스완나,295,0,0,물
582,바닐프티,296,0,0,얼음
583,바닐리치,296,0,0,얼음
584,배바닐라,296,0,0,얼음
585,사철록,297,0,0,노말
586,바라철록,297,0,0,노말
587,에몽가,298,0,0,전기
588,딱정곤,299,0,0,벌레
589,슈바르고,299,0,0,벌레
590,깜놀버슬,300,0,0,풀
591,뽀록나,300,0,0,풀
592,탱그릴,301,0,0,물
593,탱탱겔,301,0,0,물
594,맘복치,302,0,0,물
595,파쪼옥,303,0,0,벌레
596,전툴라,303,0,0,벌레
597,철시드,304,0,0,풀
598,너트령,304,0,0,풀
599,기어르,305,0,0,강철
600,기기어르,305,0,0,강철
601,기기기어르,305,0,0,강철
602,저리어,306,0,0,전기
603,저리릴,306,0,0,전기
604,저리더프,306,0,0,전기
605,리그레,307,0,0,에스퍼
606,벰크,307,0,0,에스퍼
607,불켜미,308,0,0,고스트
608,램프라,308,0,0,고스트
609,샹델라,308,0,0,고스트
610,터검니,309,0,0,드래곤
611,액슨도,309,0,0,드래곤
612,액스라이즈,309,0,0,드래곤
613,코고미,310,0,0,얼음
614,툰베어,310,0,0,얼음
615,프리지오,311,0,0,얼음
616,쪼마리,312,0,0,벌레
617,어지리더,312,0,0,벌레
618,메더,313,0,0,땅
619,비조푸,314,0,0,격투
620,비조도,314,0,0,격투
621,크리만,315,0,0,드래곤
622,골비람,316,0,0,땅
623,골루그,316,0,0,땅
624,자망칼,317,0,0,악
625,절각참,317,0,0,악
626,버프론,318,0,0,노말
627,수리둥보,319,0,0,노말
628,워글,319,0,0,노말
629,벌차이,320,0,0,악
630,버랜지나,320,0,0,악
631,앤티골,321,0,0,불꽃
632,아이앤트,322,0,0,벌레
633,모노두,323,0,0,악
634,디헤드,323,0,0,악
635,삼삼드래,323,0,0,악
636,활화르바,324,0,0,벌레
637,불카모스,324,0,0,벌레
638,코바르온,325,1,0,강철
639,테라키온,326,1,0,바위
640,비리디온,327,1,0,풀
641,토네로스,328,1,0,비행
642,볼트로스,329,1,0,전기
643,레시라무,330,1,0,드래곤
644,제크로무,331,1,0,드래곤
645,랜드로스,332,1,0,땅
646,큐레무,333,1,0,드래곤
647,케르디오,334,0,1,물
648,메로엣타,335,0,1,노말
649,게노세크트,336,0,1,벌레
650,도치마론,337,0,0,풀
651,도치보구,337,0,0,풀
652,브리가론,337,0,0,풀
653,푸호꼬,338,0,0,불꽃
654,테르나,338,0,0,불꽃
655,마폭시,338,0,0,불꽃
656,개구마르,339,0,0,물
657,개굴반장,339,0,0,물
658,개굴닌자,339,0,0,물
659,파르빗,340,0,0,노말
660,파르토,340,0,0,노말
661,화살꼬빈,341,0,0,노말
662,불화살빈,341,0,0,불꽃
663,파이어로,341,0,0,불꽃
664,분이벌레,342,0,0,벌레
665,분떠도리,342,0,0,벌레
666,비비용,342,0,0,벌레
667,레오꼬,343,0,0,불꽃
668,화염레오,343,0,0,불꽃
669,플라베베,344,0,0,페어리
670,플라엣테,344,0,0,페어리
671,플라제스,344,0,0,페어리
672,메이클,345,0,0,풀
673,고고트,345,0,0,풀
674,판짱,346,0,0,격투
675,부란다,346,0,0,격투
676,트리미앙,347,0,0,노말
677,냐스퍼,348,0,0,에스퍼
678,냐오닉스,348,0,0,에스퍼
679,단칼빙,349,0,0,강철
680,쌍검킬,349,0,0,강철
681,킬가르도,349,0,0,강철
682,슈쁘,350,0,0,페어리
683,프레프티르,350,0,0,페어리
684,나룸퍼프,351,0,0,페어리
685,나루림,351,0,0,페어리
686,오케이징,352,0,0,악
687,칼라마네로,352,0,0,악
688,거북손손,353,0,0,바위
689,거북손데스,353,0,0,바위
690,수레기,354,0,0,독
691,드래캄,354,0,0,독
692,완철포,355,0,0,물
693,블로스터,355,0,0,물
694,목도리키텔,356,0,0,전기
695,일레도리자드,356,0,0,전기
696,티고라스,357,0,0,바위
697,견고라스,357,0,0,바위
698,아마루스,358,0,0,바위
699,아마루르가,358,0,0,바위
700,님피아,67,0,0,페어리
701,루차불,359,0,0,격투
702,데덴네,360,0,0,전기
703,멜리시,361,0,0,바위
704,미끄메라,362,0,0,드래곤
705,미끄네일,362,0,0,드래곤
706,미끄래곤,362,0,0,드래곤
707,클레피,363,0,0,강철
708,나목령,364,0,0,고스트
709,대로트,364,0,0,고스트
710,호바귀,365,0,0,고스트
711,펌킨인,365,0,0,고스트
712,꽁어름,366,0,0,얼음
713,크레베이스,366,0,0,얼음
714,음뱃,367,0,0,비행
715,음번,367,0,0,비행
716,제르네아스,368,1,0,페어리
717,이벨타르,369,1,0,악
718,지가르데,370,1,0,드래곤
719,디안시,371,0,1,바위
720,후파,372,0,1,에스퍼
721,볼케니온,373,0,1,불꽃
722,나몰빼미,374,0,0,풀
723,빼미스로우,374,0,0,풀
724,모크나이퍼,374,0,0,풀
725,냐오불,375,0,0,불꽃
726,냐오히트,375,0,0,불꽃
727,어흥염,375,0,0,불꽃
728,누리공,376,0,0,물
729,키요공,376,0,0,물
730,누리레느,376,0,0,물
731,콕코구리,377,0,0,노말
732,크라파,377,0,0,노말
733,왕큰부리,377,0,0,노말
734,영구스,378,0,0,노말
735,형사구스,378,0,0,노말
736,턱지충이,379,0,0,벌레
737,전지충이,379,0,0,벌레
738,투구뿌논,379,0,0,벌레
739,오기지게,380,0,0,격투
740,모단단게,380,0,0,격투
741,춤추새,381,0,0,불꽃
742,에블리,382,0,0,벌레
743,에리본,382,0,0,벌레
744,암멍이,383,0,0,바위
745,루가루암,383,0,0,바위
746,약어리,384,0,0,물
747,시마사리,385,0,0,독
748,더시마사리,385,0,0,독
749,머드나기,386,0,0,땅
750,만마드,386,0,0,땅
751,물거미,387,0,0,물
752,깨비물거미,387,0,0,물
753,짜랑랑,388,0,0,풀
754,라란티스,388,0,0,풀
755,자마슈,389,0,0,풀
756,마셰이드,389,0,0,풀
757,야도뇽,390,0,0,독
758,염뉴트,390,0,0,독
759,포곰곰,391,0,0,노말
760,이븐곰,391,0,0,노말
761,달콤아,392,0,0,풀
762,달무리나,392,0,0,풀
763,달코퀸,392,0,0,풀
764,큐아링,393,0,0,페어리
765,하랑우탄,394,0,0,노말
766,내던숭이,395,0,0,격투
767,꼬시레,396,0,0,벌레
768,갑주무사,396,0,0,벌레
769,모래꿍,397,0,0,고스트
770,모래성이당,397,0,0,고스트
771,해무기,398,0,0,물
772,타입:널,399,1,0,노말
773,실버디,399,1,0,노말
774,메테노,400,0,0,바위
775,자말라,401,0,0,노말
776,폭거북스,402,0,0,불꽃
777,토게데마루,403,0,0,전기
778,따라큐,404,0,0,고스트
779,치갈기,405,0,0,물
780,할비롱,406,0,0,노말
781,타타륜,407,0,0,고스트
782,짜랑꼬,408,0,0,드래곤
783,짜랑고우,408,0,0,드래곤
784,짜랑고우거,408,0,0,드래곤
785,카푸꼬꼬꼭,409,1,0,전기
786,카푸나비나,410,1,0,에스퍼
787,카푸브루루,411,1,0,풀
788,카푸느지느,412,1,0,물
789,코스모그,413,1,0,에스퍼
790,코스모움,413,1,0,에스퍼
791,솔가레오,413,1,0,에스퍼
792,루나아라,413,1,0,에스퍼
793,텅비드,414,0,0,바위
794,매시붕,415,0,0,벌레
795,페로코체,416,0,0,벌레
796,전수목,417,0,0,전기
797,철화구야,418,0,0,강철
798,종이신도,419,0,0,풀
799,악식킹,420,0,0,악
800,네크로즈마,421,1,0,에스퍼
801,마기아나,422,0,1,강철
802,마샤도,423,0,1,격투
803,베베놈,424,0,0,독
804,아고용,424,0,0,독
805,차곡차곡,425,0,0,바위
806,두파팡,426,0,0,불꽃
807,제라오라,427,0,1,전기
808,멜탄,428,0,1,강철
809,멜메탈,428,0,1,강철
810,흥나숭,430,0,0,풀
811,채키몽,430,0,0,풀
812,고릴타,430,0,0,풀
813,염버니,431,0,0,불꽃
814,래비풋,431,0,0,불꽃
815,에이스번,431,0,0,불꽃
816,울머기,432,0,0,물
817,누겔레온,432,0,0,물
818,인텔리레온,432,0,0,물
819,탐리스,433,0,0,노말
820,요씽리스,433,0,0,노말
821,파라꼬,434,0,0,비행
822,파크로우,434,0,0,비행
823,아머까오,434,0,0,비행
824,두루지벌레,435,0,0,벌레
825,레돔벌레,435,0,0,벌레
826,이올브,435,0,0,벌레
827,훔처우,436,0,0,악
828,폭슬라이,436,0,0,악
829,꼬모카,437,0,0,풀
830,백솜모카,437,0,0,풀
831,우르,438,0,0,노말
832,배우르,438,0,0,노말
833,깨물부기,439,0,0,물
834,갈가부기,439,0,0,물
835,멍파치,440,0,0,전기
836,펄스멍,440,0,0,전기
837,탄동,441,0,0,바위
838,탄차곤,441,0,0,바위
839,석탄산,441,0,0,바위
840,과사삭벌레,442,0,0,풀
841,애프룡,442,0,0,풀
842,단지래플,442,0,0,풀
843,모래뱀,443,0,0,땅
844,사다이사,443,0,0,땅
845,윽우지,444,0,0,비행
